"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",0.00454982688540779,0.0357146553736551,27,0.0240754208943692,0.980969503638336,0.00654600632820582
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",-0.0820858835409669,0.0257274114394449,38,-0.512626178410102,0.611179950015492,-0.00708219939248696
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",-0.103681771382591,0.0201074990971703,49,-0.733140836300632,0.46696562396018,-0.00540932885347044
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",-0.24634352907499,0.0355290540399504,28,-1.32660050323995,0.195359569853825,-0.0184487056551313
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",-1.02331882956735,0.0238061048980242,63,-8.18655063653883,1.68392556695632e-11,-0.0452877925967399
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",0.157559408841833,0.0105459633714301,95,1.54376062334821,0.125971054860809,0.0102011909828232
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",0.00673607080206408,0.0161293981826601,61,0.0530398745353536,0.957873458130818,0.00228361230810023
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",-0.000760582291793993,0.00740740954994601,134,-0.00883716764861522,0.992962195198229,0.00123134947319292
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",0.222488886315916,0.021803205367384,46,1.52530695700981,0.13402922850135,0.0117009101389428
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",0.143857609308198,0.0234964536250683,42,0.943337429291566,0.350903409165694,0.00916707743530275
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",0.290778234841899,0.0400875381126494,25,1.48268389358691,0.150655768210406,0.0115241467420198
"CAPS_UZH",36,21,15,NA,NA,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",-0.159069098527065,0.028129208029253,35,-0.954414591162388,0.346419548330897,-0.0132047728369797
"DAT_london",31,31,0,NA,NA,13,19,16,1169200,1506950,1340190,"ADHDs/DAT_london/ASY_DescriptiveInfo_nosex.Rdata",0.099865814606435,0.0324189222730162,30,0.556029323630699,0.582314549140108,0.00530390317050841
"Dundee",23,10,13,NA,NA,10,18,13,1190680,1773720,1461230,"ADHDs/Dundee/ASY_DescriptiveInfo.Rdata",0.03755923652313,0.0435089281793087,22,0.180127770509185,0.858701152676838,0.00178486510440164
"Hartford_Olin",109,58,52,106,3,12,19,16,1018607,1736154,1375669,"ADHDs/Hartford_Olin/ASY_DescriptiveInfo.Rdata",0.169971185108266,0.00948079534470611,106,1.75819561001631,0.081600592841951,0.0104755045455
"IMpACT_NL",141,59,82,121,15,19,63,32,1261830,1913790,1577095,"ADHDs/IMpACT_NL/ASY_DescriptiveInfo.Rdata",-0.389456974729421,0.0078528347998737,136,-4.55847701734459,1.1363665548991e-05,-0.0197159928486483
"MGH_ADHD",69,29,40,63,6,18,59,31,1116080,1811500,1451765,"ADHDs/MGH_ADHD/ASY_DescriptiveInfo.Rdata",-0.249673601857478,0.0161120070895663,63,-1.99738881485983,0.0501059264001762,-0.0172233005159177
"MTA",41,31,10,36,3,21,27,24,974013,1820500,1491000,"ADHDs/MTA/ASY_DescriptiveInfo.Rdata",0.212686086523925,0.0249418947731813,40,1.36185543558608,0.180864604491929,0.01170238962821
"NeuroImage_ADAM",78,54,24,67,11,12,23,16,1312270,1963260,1606255,"ADHDs/NeuroImage_ADAM/ASY_DescriptiveInfo.Rdata",0.153656918708879,0.0131403275887474,76,1.34833398954682,0.181555691010254,0.00627367562064612
"NeuroImage_NIJM",39,23,16,34,5,10,23,18,1298620,1965620,1632120,"ADHDs/NeuroImage_NIJM/ASY_DescriptiveInfo.Rdata",-0.0477684825832851,0.0256702798452347,38,-0.298314078119144,0.767088614009865,-0.0024746901346948
"NICAP",81,47,34,69,11,9,11,10,1326550,1877490,1595970,"ADHDs/NICAP/ASY_DescriptiveInfo.Rdata",0.231054946440774,0.0128336649267172,79,2.06661826711658,0.0420463741190779,0.00881183686516057
"NICHE",80,67,13,69,11,7,16,10,1272060,1862389,1563165,"ADHDs/NICHE/ASY_DescriptiveInfo.Rdata",-0.0414451128416188,0.0131691953774898,75,-0.361310117160512,0.718883468713164,-0.000239774369707979
"NIH",304,205,99,NA,NA,4,18,10,1146550,1829489,1460903,"ADHDs/NIH/ASY_DescriptiveInfo.Rdata",0.00823805118545569,0.00483108180069404,206,0.118524916697616,0.90576724847841,-0.000341374815552347
"NYU ADHD",40,22,18,NA,NA,20,49,31,934852,1762720,1497460,"ADHDs/NYU ADHD/ASY_DescriptiveInfo.Rdata",0.0895408708766381,0.0257438149686839,38,0.559182559399455,0.579318100811261,0.00564114962411904
"OHSU",112,60,52,NA,NA,7,13,10,966984,1890000,1450000,"ADHDs/OHSU/ASY_DescriptiveInfo.Rdata",0.0348988496851468,0.00926489782272846,107,0.3626794846823,0.717559737593493,0.00289332664904459
"UAB-ADHD",95,64,31,NA,NA,6,50,27,1004270,1972030,1448310,"ADHDs/UAB-ADHD/ASY_DescriptiveInfo.Rdata",0.235490413422321,0.0109332751851799,93,2.28316426752406,0.0246983554004777,0.0190428404188285
"UCHZ",39,21,18,NA,NA,9,53,15,1059950,1864990,1483240,"ADHDs/UCHZ/ASY_DescriptiveInfo.Rdata",0.116246688630077,0.0258142729822751,38,0.725960337815274,0.472310962062156,0.00640865510610456
"HUBIN_KASP",77,43,34,70,4,20,68.97,44.85,1321762,1992782,1560192,"Aldo/HUBIN_KASP/ASY_DescriptiveInfo.Rdata",0.621884755318242,0.0159116043259815,74,5.38567996331867,8.1890103033405e-07,0.0405091129236482
"TOP15T",303,159,144,279,22,18.28,73.4,33.97,1199482,2065684,1613283,"Aldo/TOP15T/ASY_DescriptiveInfo.Rdata",-0.103440054767284,0.0033511664082171,299,-1.79163430394643,0.0742027124988725,-0.00723380121542986
"TOP3T_0",380,204,176,277,42,12.5,78,31.1,1080887,2023835,1546874,"Aldo/TOP3T_0/ASY_DescriptiveInfo.Rdata",0.90319714678047,0.00372455699200051,377,17.5601595234782,7.16600007200467e-51,0.0602171197934038
"TOP3T_GE750",386,178,208,275,23,12.01,88,42,1190360,1981293,1545960,"Aldo/TOP3T_GE750/ASY_DescriptiveInfo.Rdata",0.293246902315541,0.00270908278664631,384,5.75391971627163,1.78409727691063e-08,0.0163085785118753
"Anna",165,92,73,NA,NA,8,17,15,1211620,1999940,1549165,"Anna/ASY_DescriptiveInfo.Rdata",0.0522918407858683,0.00629790703337351,158,0.659375023360122,0.510614881417214,0.00357195217467742
"AnneU",30,16,14,28,2,19,40,26.5,1070000,1790000,1425000,"AnneU/ASY_DescriptiveInfo.Rdata",0.0145786017152345,0.0344864230280685,28,0.0785081728941117,0.937982209749114,0.0015668559531724
"BIG",2326,973,1353,1995,103,17.39,82.66,22.47,1076480,2086070,1610760,"BIG/ASY_DescriptiveInfo.Rdata",0.129034992248686,0.000434810269345541,2318,6.21380863656824,6.11270516353244e-10,0.00747509515086712
"BILGIN",453,221,232,248,205,18.08,57.18,24.03,1111532,1835334,1396760,"BILGIN/ASY_DescriptiveInfo.Rdata",-0.363965455438427,0.00236941205861389,449,-7.72087324974486,7.57986710124096e-14,-0.0168869543406801
"CAMH_ASD",146,77,69,139,6,18,86,40,1123430,1833770,1471570,"CAMH_ASD/ASY_DescriptiveInfo.Rdata",-0.120444070352621,0.00704372997931156,142,-1.44030159823709,0.151983262346994,-0.00633243057480345
"Christoph",85,44,41,NA,NA,21,75,35,1240000,1930000,1570000,"Christoph/ASY_DescriptiveInfo.Rdata",-0.33327457189498,0.0127173008450107,82,-3.03627585086697,0.00321025659237318,-0.0212603373445867
"ClarissaBr",398,149,249,110,5,18,55,32,811432,1900000,1330000,"ClarissaBr/ASY_DescriptiveInfo.Rdata",-0.286478033600627,0.00264222038545137,393,-5.68642660304858,2.53458305919238e-08,-0.0177755870484666
"Colm_UCSF",88,46,42,NA,NA,13,17,15,1230000,1810000,1560000,"Colm_UCSF/ASY_DescriptiveInfo.Rdata",0.204790605275462,0.0121543999524351,83,1.87693690058125,0.0640403387557288,0.00838304891211706
"ClinG_sample",323,132,191,307,15,18,58,24,1062340,2081450,1581790,"Egle/ClinG_sample/ASY_DescriptiveInfo.Rdata",0.163511311834815,0.00316677492046553,319,2.9249792668225,0.00369163021661353,0.00838817429961007
"HMS_sample",55,21,34,44,7,19,64,41,1155270,1921180,1525650,"Egle/HMS_sample/ASY_DescriptiveInfo.Rdata",-0.0518260439235377,0.0185433883224886,53,-0.380842088999208,0.704842725096025,-0.00250999859930258
"EstherCOBRE",70,50,20,NA,NA,18,65,34.5,1070000,1920000,1505000,"EstherCOBRE/ASY_DescriptiveInfo.Rdata",0.0310541124986543,0.0147129732198756,67,0.256078771883531,0.798674630045761,0.00363397105452836
"EstherMCIC",164,102,62,150,5,18,60,27,1290000,1990000,1615000,"EstherMCIC/ASY_DescriptiveInfo.Rdata",0.0122184696179086,0.00617330028086359,161,0.155515729005809,0.876609564107859,0.000795526346533556
"FIDMAG",117,55,62,NA,NA,21,63,41,1211550,1850590,1509640,"FIDMAG/ASY_DescriptiveInfo.Rdata",-0.0435095428264493,0.00862884948412486,115,-0.468612117607012,0.640233977134952,-0.0019969926702026
"GEB",674,305,374,616,26,16.92,24.08,20.33,861850,1597510,1129565,"GEB/ASY_DescriptiveInfo.Rdata",-0.291965580076703,0.00154234016268456,675,-7.59110508199427,1.05806144362875e-13,-0.0150678183433337
"GloriaBPSydney",100,47,53,91,8,14,30,22,995969,1784914,1360040,"GloriaBPSydney/ASY_DescriptiveInfo.Rdata",-0.0477548537662523,0.0100114026302912,99,-0.477548537662523,0.634024223802423,-0.00111150171226314
"JPCapeTown",26,10,16,NA,NA,19,56,29,1333950,1885170,1577910,"JPCapeTown/ASY_DescriptiveInfo.Rdata",-0.30068744787869,0.041808258826236,24,-1.50343723939345,0.145772393482796,-0.0179369033808715
"Malt",44,18,26,NA,NA,20,50,27.5,970748,1648073,1307202,"Malt/ASY_DescriptiveInfo.Rdata",-0.449882936593606,0.0262189840075963,41,-2.91557465670142,0.00573176976410625,-0.0279239038768078
"MatthewSacchet",59,23,36,49,9,18.85,60.53,35.73,1060000,1710000,1430000,"MatthewSacchet/ASY_DescriptiveInfo.Rdata",0.777660180503943,0.0232567442530484,55,5.81947591756507,3.14304915495142e-07,0.0441747458054233
"MDD_Ilya",74,31,43,NA,NA,20,64,40.5,1300000,1930000,1570000,"MDD_Ilya/ASY_DescriptiveInfo.Rdata",-0.127198785338093,0.0141984474013485,70,-1.07179601622488,0.287493039895895,-0.00452373056328421
"MichelleLBC",636,336,300,593,38,71.04,74.22,72.69,1059294,1812082,1433641,"MichelleLBC/ASY_DescriptiveInfo.Rdata",-0.190818982221043,0.00160600306307246,633,-4.80469920397775,1.93724301085534e-06,-0.011139205640048
"ASY_results_FOR2107",425,160,265,403,22,18,65,27,1150870,1948960,1544530,"Muenster/ASY_results_FOR2107/ASY_DescriptiveInfo.Rdata",0.0551066017029828,0.00238456754470387,419,1.12934926905962,0.259396662958647,0.00277165377042444
"ASY_results_MuensterCohort",739,323,416,725,14,17,65,32,930805,2015100,1432380,"Muenster/ASY_results_MuensterCohort/ASY_DescriptiveInfo.Rdata",-0.0708952728544456,0.00139044808579272,720,-1.90364038966125,0.0573554978685003,-0.00272645474445033
"NESDA",65,23,42,NA,NA,21,56,40,992501,1906610,1499970,"NESDA/ASY_DescriptiveInfo.Rdata",-0.0905901140764108,0.0154477428366798,64,-0.730360849131793,0.46783483439289,-0.00296940824740429
"NeuroIMAGE",388,180,208,NA,NA,7.72,28.59,16.53,1259250,2025730,1579145,"NeuroIMAGE/ASY_DescriptiveInfo.Rdata",-0.00217418344976144,0.0026315851672022,379,-0.0423826379054241,0.966215987834213,0.000833697227553659
"NicolaMAS",532,242,290,497,16,70.3,90.06,78.08,912609,1884820,1376990,"NicolaMAS/ASY_DescriptiveInfo.Rdata",-0.257212197392904,0.00197152491840428,523,-5.88785631546386,7.00152648149992e-09,-0.014056848490399
"NicolaOATS",413,143,270,369,23,65,89,69,1052340,1882020,1425270,"NicolaOATS/ASY_DescriptiveInfo.Rdata",-0.104905807040837,0.00245844159945097,408,-2.12158864898777,0.0344745415929351,-0.00649721072806788
"NORM_Moscow",54,54,0,NA,NA,16.07,27.62,22.94,1149026,1872418,1533725,"NORM_Moscow/ASY_DescriptiveInfo_nosex.Rdata",-0.667209703580916,0.0230676300806843,52,-4.85735996126335,1.13205141181768e-05,-0.0341528335926194
"NUIG",83,48,35,69,5,18,58,36,1270000,1960000,1570000,"NUIG/ASY_DescriptiveInfo.Rdata",-0.0539955501193577,0.0113802018149585,87,-0.506523158480342,0.613770728333344,-0.00278307340141148
"01_Cheng_1.5T",38,11,27,NA,NA,18,49,30.5,1123950,1641540,1367960,"OCD/01_Cheng_1.5T/ASY_DescriptiveInfo.Rdata",-0.0721729850529138,0.0294883667613448,33,-0.420837203950929,0.676602155460708,-0.00303162272004526
"01_Cheng_3T",93,27,66,NA,NA,22,39,25,933842,1753880,1307235,"OCD/01_Cheng_3T/ASY_DescriptiveInfo.Rdata",-0.306677664898353,0.0127686048179726,81,-2.77708436891924,0.00681224235901629,-0.0192264702642668
"02_Heuvel_1.5T",49,19,30,44,5,21,53,29,1162690,1843920,1478330,"OCD/02_Heuvel_1.5T/ASY_DescriptiveInfo.Rdata",-0.01708747071071,0.0217423041484271,45,-0.115892864937023,0.908253094225614,-0.000175376356877735
"02_Heuvel_3T",36,17,19,29,5,21.51,64.02,39.55,1271150,1780840,1567660,"OCD/02_Heuvel_3T/ASY_DescriptiveInfo.Rdata",0.130893712378194,0.0305626236960628,32,0.751927130794467,0.457590195053947,0.0126149007592253
"03_Huyser",23,9,14,21,2,8.67,16.83,14.42,1210000,1600000,1400000,"OCD/03_Huyser/ASY_DescriptiveInfo.Rdata",-0.732021885952404,0.0576330918525753,21,-3.43348699040683,0.00249392267372116,-0.0498423687406765
"04_Mataix_Cols",33,21,12,17,2,21,63,32,1200000,1970000,1450000,"OCD/04_Mataix_Cols/ASY_DescriptiveInfo.Rdata",0.0785333104924485,0.0313463668883891,31,0.444251491185912,0.659946696977551,0.00321488840316258
"OXUK",35,16,19,31,4,13.7,18.88,16.27,1370000,1960000,1640000,"OXUK/ASY_DescriptiveInfo.Rdata",0.0452491765126396,0.0294418748231628,33,0.263845771526565,0.793539472360175,-0.00137195246399903
"GRADUAL",449,207,242,NA,NA,17,27,20,897723,1833040,1432528,"QiuOld/GRADUAL/ASY_DescriptiveInfo.Rdata",-0.437552033567884,0.00247901785303098,441,-9.19900471133103,1.44995456021697e-18,-0.0233001975216488
"OLDERS",193,58,135,NA,NA,30,80,60,1052606,1787736,1393392,"QiuOld/OLDERS/ASY_DescriptiveInfo.Rdata",-0.15183885981334,0.00526837249830577,191,-2.10394095808026,0.0366923791062005,-0.00699763156402229
"QTIM",1040,366,674,NA,NA,15.4,30.11,22.04,1140000,2010000,1470000,"QTIM/ASY_DescriptiveInfo.Rdata",0.511855309993137,0.00109486730801944,1032,16.4511921055685,3.49667395639456e-54,0.0292104774207962
"Quinn",54,23,31,NA,NA,7,24,17,1280000,1880000,1570000,"Quinn/ASY_DescriptiveInfo.Rdata",0.271445280948254,0.0192007642643433,53,1.99470729422894,0.0512287303521126,0.0123623010507152
"SaoPaulo1",69,45,24,NA,NA,17,43,27,787079,1316860,1045415,"SaoPaulo1/ASY_DescriptiveInfo.Rdata",-0.295830645764697,0.0155784759027877,66,-2.42147819631488,0.0182138166684294,-0.0169954160254718
"SaoPaulo3",85,45,40,NA,NA,18,50,29,1014957,1860720,1465983,"SaoPaulo3/ASY_DescriptiveInfo.Rdata",-0.247388628278353,0.0127234637864287,80,-2.22649765450517,0.0287929937329237,-0.010827019053275
"SaudEPIGEN",68,39,29,63,5,18.35,54.11,33.44,920698,2020000,1560000,"SaudEPIGEN/ASY_DescriptiveInfo.Rdata",-0.189692754421821,0.0149704657432363,67,-1.56424652579104,0.12247102261538,-0.00831960345893126
